sku,precio,categorias,nombre,descripcion,medidas,imagenes_url
PS1548-SIN 227,$18.44 ,"Textil,Bolsas,Bolso",Osuna,Bolsa-mochila con tirantes de cordón y cerrado de jareta.,34 x 43 cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS4577-T 107,$98.44 ,"Bebidas,Termos",Volcano,"Termo con doble pared de acero inoxidable, tapa de plástico enroscable y correa de silicón.",19cm x 6.5cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS4460-O 081,$135.00 ,"Oficina,Todo oficina,Libretas",Tokio,"Carpeta de poliuretano con broche magnético y placa metálica, con porta papeles en la pasta, en el interior cuenta con porta tarjetas, 98 hojas rayadas y arillo metálico.",23cm x 17.5cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS4640-T 53,$110.63 ,"Bebidas,Termos",Hannah,Cilindro de acero inoxidable con detalle de bambú en tapa.,25cm x 7cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS4396-O 009,$150.00 ,"Oficina,Carpetas,Todo oficina",Barlow,"Carpeta de curpiel tamaño carta con cierre, block de raya con 30 hojas, compartimiento para tarjetas y porta bolígrafo.",33.5cm x 26cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS4099-BP-2173B,$3.56 ,"Oficina,Todo oficina,Bolígrafos",Farell,Bolígrafo de plástico con clip metálico y grip de goma.,14cm x 1.8cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS17593-TMPS 171,$103.60 ,Cilindros,CILINDRO LIAM,Cilindro metálico de una pared y tapa de plástico con cierre de rosca. Incluye aro metálico en la tapa que funciona como asa. Terminado mate. Incluye caja individual.,6.5 x 21 cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS17592-TMPS 169,$155.11 ,"Bebidas,Termos",TERMO SAMT,Doble pared. Cerrado al vacío. Pared interna y externa acero inoxidable. Terminado tipo rubber en tapa y cuerpo. Tapa de rosca. Mantiene temperatura caliente 6 hrs y temperatura fría 8 hrs aproximadamente. Incluye caja individual.,7 x 23 cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS3288-TMPS 26,$90.63 ,"Tazas,Bebidas",Burgos,Doble pared. Pared interna de acero inoxidable y externa de plástico. Incluye válvula de seguridad giratoria con tapa de presión. Incluye caja individual. No usar en microondas ni lavavajillas.,9 x 12 cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS1463-SIN 123,$113.34 ,Textil,Preston,Interior plastificado. Bolsa principal con cierre. Asa de agarre superior y correa ajustable.,28 x 19 x 15.5 cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS1210-SH 1005,$5.76 ,"Oficina,Todo oficina,Bolígrafos",Script,Mecanismo twist.,1.2 x 13.5 cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS1028-M 82724,$158.05 ,"Oficina,Carpetas,Todo oficina",Harbel,"Incluye block de raya tamaño A4 con 20 hojas, compartimento para bolígrafo, documentos y tarjetas. No incluye bolígrafo.",24 x 31.5 cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS1011-M 80444,$164.64 ,"Oficina,Carpetas,Todo oficina",Century,"Incluye block de raya tamaño A4 con 20 hojas, elástico para bolígrafo, compartimento para documentos y tarjetas. No incluye bolígrafo.",24.6 x 31.6 cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS680-GEP 003,$27.06 ,Gorras,De Algodón,Broche de velcro.,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS27165-CHM 017,$424.25 ,Sudaderas,SUDADERA URBAN,"Sudadera deportiva con gorro ajustable. Incluye 2 bolsillos frontales con cierre, pullers metálicos, elástico en las muñecas y la cintura para un mejor ajuste. Fabricada con material texturizado suave al tacto 95% Poliéster, 5% Spandex",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29346-COB 008,$159.71 ,Decoración,FRAZADA MEKKY,"Frazada luminosa con diseño de estrellas que brillan delicadamente en la oscuridad. Cálida, cómoda y suave al tacto, ideal para crear un ambiente acogedor y relajante. Diseño luminoso, basta con exponerla a una luz brillante o a la luz del sol durante 10-15 minutos para que absorba la luz y brille en la oscuridad.",150 x 107 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29322-ANF 090,$24.80 ,Cilindros,CILINDRO DRIK,Sistema de rosca twist-off que permite abrir y cerrar la tapa en un giro. Con sobretapa giratoria que permite abrir y cerrar la boquilla fácilmente con un simple giro y asa para llevarla contigo a donde quiera que vayas. Revisar que la tapa no esté cerrada completamente. No exponer el cilindro a temperaturas mayores a 40 °C durante su almacenamiento y transportación. Mantener en su empaque individual antes y después de su transformación. No apto para bebidas calientes. No introducir en microondas ni lavavajillas.,7 x 26.5 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29266-CEL 071,$67.97 ,Accesorios,FUNDA SPITZ,Funda para smartphone con cierre hermético a prueba de agua. Incluye cordón. Compatible con smartphones de 8 x 16 cm máximo.,11.6 x 22 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29267-CHM 023,$642.85 ,Chamarras,CHAMARRA DAMA ORIOL,"Chamarra capitonada corte de dama, con un diseño casual y clásico. Experimenta la mezcla perfecta de estilo y comodidad. Incluye doble bolsillo frontal. Exterior y forro 100% poliéster.",Grande ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29268-SET 022,"$2,395.35 ",Sets Oficina,SET MARMARIS,"Exclusivo set de regalo. Presentado en una sofisticada caja con cierre imantado, este set no solo ofrece practicidad sino también un toque de lujo. La caja, decorada con un diseño sesgado moderno, refleja un estilo contemporáneo y asegura que su contenido se mantenga seguro y bien presentado. Incluye termo metálico de doble pared, cerrado al vacío y tapa de cerámica, adicional integra la tecnología TrueBarrier de triple pared que ayuda a mantener tus bebidas calientes por más tiempo. Libreta con 100 hojas de rayas y pasta de curpiel texturizado. Bolígrafo metálico roller ball con tapón, tinta en color negro. Llavero metálico combinado con curpiel, aro con giro de 360°. Batería auxiliar para smartphon",41.5 x 28 x 9.5 cm Caja / 6.5 x 19 cm Termo / 14.5 x 21 cm Libreta / 1.2 x 14 cm Bolígrafo / 6.8 x 13.7 cm Power Bank / 2.3 x 11 cm Llavero ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29269-Z 022,$249.33 ,Audio,BOCINA DIVVO,"Bocina IPX7 a prueba de agua, lo que permite sumergirla hasta 1 metro por un máximo de 30 minutos. Bocina con tecnología bluetooth 5.3. Potencia 5 W. Batería recargable con capacidad de 1,200 mAh que otorga un tiempo de reproducción de 3 a 4 horas. Alcance de conexión de 10 metros. Además, agrega controles integrados de llamada, función FM, puerto de conexión USB, micro USB, conexión para cable auxiliar 3.5 y ranura para tarjeta TF. Incluye cable con conector micro USB y caja individual.",16 x 7.6 x 4.7 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29263-RQ 035,$12.03 ,Bolígrafos,BOLíGRAFO OLDHAMII,Bolígrafo de bambú con tapón. Grip antiderrapante. Tinta gel. Incluye funda.,1.2 x 14.3 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29264-SIN 562,$88.36 ,Mochilas,MINI MOCHILA KIDS,"Mochila estilo escolar. Bolsa principal y bolsa frontal con cierre. Cuenta con tirantes ajustables y asa de agarre superior. Diseñada especialmente para niños, esta mochila combina un tamaño compacto con un estilo divertido y colorido.",26 x 31 x 13 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29259-BAR 037,$220.90 ,Bar,SET DE MIXOLOGíA SOROA,"Descubre el arte de la mixología con nuestro exclusivo set para preparar bebidas. Este set agrega todas las herramientas esenciales para crear cócteles perfectos desde la comodidad de tu hogar. Incluye 7 piezas: 2 vasos, dosificador doble de acero inoxidable 15 y 30 ml, mortero de madera, agitador de bebidas de acero inoxidable y dos moldes de silicona para hielo. Incluye caja individual. La madera es un producto natural el cual puede presentar variaciones en tonalidades y vetas.",24.2 x 7.5 x 19.7 cm Caja / 7 x 8.4 cm Vaso / 4.2 x 6.5 cm Jigger / 5.1 cm Esfera para hielo / 2.5 x 18.5 cm Batidor / 2.7 x 21.3 cm Macerador ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29261-TMPS 241,$117.59 ,Termos,TERMO GOUT,"Termo doble pared. Cerrado al vacío. Pared interna y externa de acero inoxidable. Tapa de plástico con sistema push y válvula de seguridad. Cuerpo con termiando rugoso. Su estructura ligera y ergonómica facilita su traslado, mientras que sus colores brillantes le añaden un toque de personalidad. Mantiene la temperatura caliente por 6 hrs y la temperatura fría por 8 hrs. Capacidad de 9 Oz. Incluye caja individual.",9.6 x 10 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29262-SIN 561,$370.43 ,Mochilas,MOCHILA LEYDI,"Mochila estilo casual de tamaño compacto. Su compartimento principal incluye un espacio para llevar una laptop de hasta 13'' y un bolsillo con cierre para  objetos de valor. Su solapa frontal se mantiene cerrada gracias a sus broches magneticos y un bolsillo frontal con cierre. Adicional, dos bolsillos frontales con cierre para mayor organización. Asas de algodón para llevarlas como bolso o bien, ajustar las asas de hombro a tu gusto.",26 x 34 x 10.5 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29256-AUD 048,$170.86 ,Audio,AUDíFONOS DEZ,"Audífonos bluetooth con base recargable. Estuche ultra compacto con asa de silicón para llevarlo a todos lados. Controles integrados touch para llamadas, volumen y reproducción de audio. Reproducción de música 3 a 4 hrs aproximadamente. Rango de conexión de 10 metros. Batería de 28 mAh en los auriculares y 180 mAh en el estuche de carga. Incluye cable cargador USB, estuche de carga con conexión tipo C y caja individual.",3.6 x 2.8 x 3.5 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29257-SOC 550,$140.63 ,Deportes,BALóN KIRALY,Balón de voleibol con 18 Gajos. Peso 280 gr. Nivel máximo de presión 4-6 psi. Capa especial de látex con máxima retención de aire en cámara de goma ajustada.,No. 5 ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29258-Z 020,$183.52 ,Audio,BOCINA KARAOKE IDOL,"Bocina con tecnología bluetooth 5.3. Potencia 5 W. Batería recargable con capacidad de 800 mAh que otorga un tiempo de reproducción de 3 a 4 horas. Alcance de conexión de 10 metros. Incluye marco de luz LED con botón independiente para cambiar o ajustar el efecto o color. Además, agrega un micrófono que se sincroniza automáticamente a la bocina, lo que te permitirá cantar tus canciones favoritas y divertirte ya que se puede modificar la agudeza de las voces. Puerto de conexión tipo C y USB, conexión para cable auxiliar 3.5 y ranura para tarjeta TF.  Incluye cable con conector tipo C y caja individual.",8.8 x 8.8 x 6.8 cm Bocina / 3.8 x 13.5 cm Micrófono ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29252-JM 100,$98.56 ,Bar,JUEGO SWING,"Lleva la diversión a otro nivel con este emocionante juego de destreza para dos jugadores. El objetivo es simple pero desafiante: cada jugador debe balancear su aro e intentar fijarlo en el gancho. Si lo logra, el shot se moverá hacia su oponente. El jugador que no pueda evitar que el shot salga de la base deberá beber un shot. Perfecto para reuniones y fiestas, este juego combina habilidad, emoción y risas en cada ronda. Incluye juego con dos aros, base y shot. La madera es un producto natural el cual puede presentar variaciones en tonalidades y vetas.",26 x 28 x 8 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29253-HER 067,$156.33 ,Herramientas,NAVAJA SMEATON,"Navaja metálica con 12 funciones. Incluye 1 navaja, 1 destornillador, 1 destornillador plano, 1 destornillador pequeño, 1 abrelatas, 1 lima, 1 sacacorchos, 1 guía de hilo, 1 punzón para cuero, 1 cortador de cajas, 1 destapador y 1 cuchilla pequeña. Incluye caja individual.",2.6 x 9.8 x 1.7 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29254-CRG 059,$303.75 ,Cargadores,POWER BANK VATIO,"Batería auxiliar de carga rápida para smartphone, capacidad 9,000 mAh. Contiene 1 puerto de entrada tipo C para carga de la batería y 2 puertos de salida, USB y tipo C para carga de dispositivos. Adicional 2 cables integrados, lightning (8 pines) y tipo C. Su pantalla frontal te permite visualizar el nivel de batería disponible. Incluye cable con conector tipo C y caja individual.",8.9 x 6.4 x 2.7 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29249-MK 018,$105.36 ,Relojes,RELOJ QUARE,Reloj de pared con diseño amaderado. Incluye 3 manecillas. Destaca el estilo de sus números creando un efecto visual único que lo convierte en el centro de atención de cualquier habitación. Batería (1 AA) No incluida.,34 cm Diámetro ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29250-SET 023,"$2,150.77 ",Sets Oficina,SET ESTAMBUL,"Exclusivo set de regalo. Opción perfecta para un obsequio de alto valor y calidad. Este set viene en una elegante caja negra con solapa de abertura central, lo que no solo proporciona un acceso fácil al contenido, sino que también añade un toque sofisticado al diseño. El interior de la caja presenta un color neutro que realza el aspecto general, creando un hermoso contraste con el exterior negro. Incluye termo con doble pared metálica, cerrado al vacío, tapa con sistema de rosca, sobretapa de push y ranura especial con tapón para popote, también incluye popote metálico con boquilla de silicón. Libreta de 80 hojas de raya, cubierta rígida de curpiel, separador interno y broche magnético. Bolígr",30 x 40 x 10 cm Caja / 7.6 x 17.7 cm Termo / 15 x 21 cm Libreta / 1.2 x 13.8 cm Bolígrafo / 6.8 x 13.7 cm Power Bank / 2.3 x 11 cm Llavero ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29251-SIN 767,$183.52 ,Bolsas,BOLSA CUZCO,"Bolsa ideal para verano. Fabricada en paja de papel tejido. Sus elegantes asas de curpiel y cerrado con broche metálico le añaden un toque sofisticado, mientras que en su interior incluye un bolsillo con cierre.",38 x 36 x 16 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29246-DAM 066,$169.92 ,Belleza,SET DE BROCHAS ROMINA,"Set de maquillaje con 7 accesorios esenciales para realzar tu belleza. Incluye un elegante estuche y todo lo que necesitas para lograr un look perfecto: brochas para base en polvo, rubor, sombra, delineador de ojos y labios, esponja para base de maquillaje, y una suave toalla para limpieza facial. El set ofrece una solución completa para tu rutina de belleza, asegurando que siempre estés lista para cualquier ocasión.",23 x 7 x 7 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29242-BAR 039,$168.36 ,Vasos,VASO WHISKERO BASILE,"Disfruta de tu whisky favorito a cualquier hora del día. Incluye vaso de cristal y funda doble pared de acero inoxidable diseñado para mantener tu bebida fría sin diluirla. Ideal para los verdaderos amantes del whisky, este vaso combina elegancia y funcionalidad, manteniendo la temperatura de tu cóctel por más tiempo mientras preserva su sabor puro. Su diseño premium es perfecto para quienes aprecian cada detalle de su experiencia de degustación. Incluye caja individual.",9.1 x 7.7 cm Funda / 8.1 x 9 cm Vaso ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
