nombre,productos,precio,descripcion,imagen
🖊️📓 Kit Esencia de Ideas,HL 9043,30,"Un detalle práctico para escribir, planear y comenzar con propósito.
El Kit Esencia de Ideas es perfecto para quienes valoran la organización, la escritura a mano y los detalles útiles en su día a día. Ideal para empresas, capacitaciones, ferias o como obsequio institucional, este set combina funcionalidad y presentación cuidada.
Incluye:
Libreta con 80 Hojas Rayadas
Bolígrafo a Juego","""ChatGPT Image 9 may 2025, 09_34_49 a.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/wzjHjv6XkxnEPPnJas7WWw/jkalw-JexUUT9Y0R5Hl5Ls4eDFrTVPU6xoCNdGndILEA1H_-one0P0rvlQEQ0I37yl6hkkoJOI_JnoMHJGMgdFYrHrMUy-lAWuolB9RxL91VC5YZUfKirnan9tBbGdOvV_2EED-oNQlW3Z2ThEftNEVi3YUUnlQjv6aIjAgEeaE2Idyti9zEXXwdaHHbFDbn/yi3fEKga_x2_aQC4EpTz3wT1I9xZElFpW1fu28Bae6M)"""
🖋️🗝️ Kit Signature,ST-021,30,"Detalles que hablan por ti.
El Kit Signature combina tres elementos esenciales en un diseño refinado, ideal para causar una excelente primera impresión o agradecer con estilo. Fabricado en materiales duraderos y con acabados elegantes, este set transmite profesionalismo y atención al detalle.
Incluye:
Bolígrafo Metálico con Tinta Negra
Llavero de Curpiel y Metal
Porta Tarjetas de Curpiel y Metal",image component recomendado-ocaciones-8-800x80021.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/q4aUwu1MW9Cldke2VXP0mw/ZF0kXznIzBzCIuzaf6-qhD27Or5_tzPbhp1oxsyNNnXkoJZETVmu22WAahih_RX9K07HhlNTjGURqC-GXvjd7ZR_Birnt7lvs6dnkyHAVrSlo8KfY84_fnfmPust_6dmnC2dnUD5pQnbhKvXyjWY24OFfl8S_eFwFqB794lkp1eYo3nk-8MtmmY5E-H508zpqRQPP1TzhM4munCZ8esvjA/WNnE0sugy_rHUzEpQK3Z1bwHry8f_UxGQ5jCj3rn5-E)
🥃✨ Kit Heritage,SET 017,30,"Estilo clásico para brindar con distinción.
El Kit Heritage está diseñado para quienes aprecian los momentos especiales con un toque de sofisticación. Perfecto como regalo ejecutivo, detalle de agradecimiento o presente exclusivo, este set de bar combina funcionalidad, elegancia y una presentación impecable.
Incluye:
Licorera con Funda de Curpiel y Tapa Rosca
Vaso de Cristal
Set de 4 Cubos Enfriadores 
Pinzas para Hielo
2 Mini Vasos Metálicos
",image component recomendado-ocaciones-8-800x80022.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/EeCPzJI87drxVWEZ11e5KQ/rCzdheLpLsF8yXj1vlk2bO2AMwpBVoiO3KIwxSk85UHQ2V2Azn1bHqptJdBuZl7c_UnRJjlwB4r2qs1tFF5Pft85solodIw7s5ow2bKvm2Mw3NiPy6k1UjdndyX2wlG-N3PmbXRJSNIzc9VRHv-OyECdtVplJWxyUa-IKmK6p6F1LtGd5rJPsiYb1PYZ8gNr26UuRIOZJsV9IbhniuxPgQ/fmm2CArOR2AnrVj-FetYVLBXXixBO79eFk4Kqmt8weU)
🌈☕ Kit Color Pop,"TAZ 067,""ACC 003
""",30,"Energía, color y funcionalidad en cada sorbo.
El Kit Color Pop está pensado para quienes disfrutan los pequeños placeres con estilo. Su diseño vibrante y versátil lo convierte en el regalo perfecto para dar un toque de alegría al día a día, ya sea en casa, la oficina o en movimiento.
Incluye:
Taza de Cerámica con Tapa Multifunción",bbd4641a-b8b7-4fd0-b3e4-91d53619a328.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/lgiogvPyKfLj-ECGZgmnDQ/idCqdHam-PBWtPQoYGRCv9914kPqPnI4WhWgGIkCWckuQUbyLHZLm1CNlHRCdmRaM_bitV9AwKH3mi_gdjZctY9EVeM2ebRdwvmiAy8mOYRYaF4xUS04dltLeBLCHphAWWKx0s618dNdTljXFlndu9WVHCm5raRt7aMAaSs-QnxbMytRbHLWbARnm4kNjzkc/RijW8elRTppPbYkSGGKU5xUFuHmoov1mB41NIxvnPws)
💄🖊️ Kit Esenciales Elegantes,"BL-080,""DAM 045
"",DAM 032,""ACC 003
""",30,"Pequeños esenciales que hacen una gran diferencia.
El Kit esenciales elegantes es una combinación práctica y elegante de herramientas esenciales para el día a día. Compacto, funcional y con un toque femenino, es ideal para llevar en la bolsa, en el auto o como un detalle útil y con estilo en eventos especiales o programas de fidelización.
Incluye:
Bolígrafo Mini Llavero West
Cosmetiquera Kewa
Esponja de Látex con Estuche",164e937a-c8ae-40d6-b22b-d597150edb56.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/CXUEme8tR2b2uYD2NRsZLw/TqNcb68SJLzDUUIHe38w9wgabZ8sXKc7-mFb2sgbdhECQBvXtys_Y0xHrlhYdqzpeRTREs8dYoSFva0X3zK7T1CsUU737ax41TCJHiCOmu1TLdACPwYgPwL2tJK0zmf00M-oqowz72PSeMhBHKfX7O696tTUykIInhWTF7z5GzC9Q2EKc4uoWljYbT7pSNon/I5Y8eJj8Un7TtCQ9tq9e8YRah2WUkZ8u9rnpxDGN8L8)
☕✨ Kit Ritual Café,"TE-132,""TMPS 170
"",""ACC 003
""",30,"Diseñado para disfrutar cada momento con calma y sabor.
El Kit Ritual Café celebra el placer de una pausa bien merecida. Ideal para los amantes del café y los detalles funcionales con estilo, este set invita a comenzar el día con intención o cerrar la jornada con tranquilidad, en casa o en la oficina.
Incluye:
Taza de Cerámica Brillante (650 ml)
Prensa Francesa Cocker",346712c6-b734-42b8-a2cd-1b85a3d486c2.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/8YxiY2uZNlGBCM9jXTHc8A/Ya0U8K8c1kzoPiAgCOSAQI18YYu5GzgByw_invz6hcfIyRmZKSJGwRpcr9TTfKroys9nxGE96vpWKVkQzrDsVEZmr6ePdkP9yXkuWt3sQ__Eyi0fLcVeE1XSBw2fpiyNAvyCjPjqonOFMxMEXNCkFx5f_Kd1h6A8Zeai1sCqs9wW4VG8WotrfKVHTNYQ6aY_/TYex9bgTsHSexI_y4rIiXKO68gfkNCaeWIa_XmX0COY)
💄👜 Kit Belleza Compacta,"DAM 039,""DAM 063
"",""ACC 003
""",30,"✨ Kit Belleza Compacta
Diseñado para acompañarte con estilo y confianza, donde sea que vayas.
El Kit Belleza Compacta está diseñado para mujeres prácticas que buscan organización, estilo y funcionalidad en cada detalle. Ideal para viajes, oficina o el día a día, este set ofrece una solución elegante y eficiente para el cuidado personal y el maquillaje exprés.
Incluye:
Cosmetiquera con Cierre y Forro Interno
Set de Brochas 4 en 1 Retráctil
",image component recomendado-ocaciones-8-800x80017.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/87ChwbIyMAsGGD27VE7RSw/Q1s0sKCyuv8X_nSaC2gUYg3ByILwTE9w2yA3oMQtAfaFoNnHC1HodFkA9SqR7wm_0Z5kTCYkM5zflW_sDoEvCwyKVcCA8s1WJA3GI5QHed2z7d4h8BnWYPCqs8jf984JcBall6VlfPGYxJMHFJQ1Exe_8IHcj3kQtep4DTCJCmRm1P7qnhBYiRhXMPxsDA16b4znkY0xvwn9dSoJff8LrQ/6VOStncvuVKMROCBIw73Dl_HKq4krFVQDwzcAocjAcg)
✒️📔 Kit Nexus,"O 111,""TMPS 186
"",BL-166,""ACC 003
""",30,"Ideas que fluyen, estilo que acompaña.
El Kit Nexus reúne lo esencial para la inspiración y la productividad diaria, con un diseño sobrio, funcional y elegante. Perfecto para profesionales, colaboradores o estudiantes que valoran la calidad en cada detalle.
Incluye:
Libreta de Poliuretano con 120 Hojas Rayadas
Termo Mocha
Bolígrafo Celleno
",image component recomendado-ocaciones-8-800x80020.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/ZHQXWkvVoXu0lpdXqaj1_g/FHjwfnKfAXJqbt1fsQ4232scpVy3mRQPvYW78NEpYEJhqUgMExCl113lfpN6HHJm4MPnA1ZySsfS2Zv8ZBaBIr6u5zTWTSGL3nlQ3BYo0zHEo2OEVZ1tJto_6K1jyPrjdzNrLvWs8Pd_NtKjaYM0nqxajJmBqvzDPtHGu-oK1DbyDa4njhkvKDZRHwauptvgeFAOFJ8XWj4c9q_KGDY4AA/fUqNfvFSw9wBCTf0pU2n4m3-lIjAxbb1t4Tt9le62ik)
🎽🎒 Kit ActivePro,"SPO 002,SPO 003,BL 224",30,"Diseñado para el movimiento. Listo para cualquier reto.
El Kit ActivePro es la combinación perfecta para personas que viven activamente, ya sea entrenando, viajando o simplemente organizando su día con energía. Su diseño práctico y resistente lo convierte en un aliado ideal para el deporte, el gimnasio o escapadas de fin de semana.
Incluye:
Toalla Deportiva Luga
Brazalete Deportivo Armes
Maleta Convertible en Mochila
","""ChatGPT Image 8 may 2025, 01_59_10 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/Q2r5dhCl4x1j5rK16bcohg/GL6t6APz96DScdjAS5eHlPd46El6Kl-qGm9acRW-4eyUxHaOuR2DHCrTEv2eu7RufCNNNckZfeviKNDxCvcHNzk3GTc_wVQqHb03YMxcBpJuSrxVNNeJsfJbsc-tdtkXQi3i1LwFxCMYY8tcvA5pstqcSxeOwFh954CIXPlaa8LbjbLu3VTuyV_8kP2YmNN_/_aZX8VrJXrHQc6YLQPSq0ji3SC0NNPfD0TPBbvNWRE8)"""
🎒🥤 Kit TrailFlex,"TE-218,BL 214",30,"Resistencia, capacidad y movimiento sin límites.
El Kit TrailFlex fue creado para acompañar a personas dinámicas, activas y prácticas, que necesitan soluciones eficientes para moverse con libertad. Ideal para colaboradores en campo, viajes, actividades al aire libre o rutinas urbanas exigentes.
Incluye:
Vaso de Plástico con Popote y Agarradera (1,200 ml)
Mochila Extensible Enrollable Tipo Carry On","""ChatGPT Image 3 abr 2025, 10_56_47 a.m. 1.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/_nHL5NlbO74tAKaVaHRL_g/LTsDjh85ZmsHeyr5Jwl9k99pI4A9pxPvg-f27JcSxJUY1HfYO8yFEQe44mPdzQ1BurNDAz3yYsk1eMDKtPx5HOA_QdsUyiWSOCPXgfQWN8RjqJBB0kPKtH9iC62a6g-qzTY4xE0ecaKO_eLw_3AMyXRWxaG7RcS6X7gh-4Z73NB6KEF6oZXQY7pFfXRYySz7/VRDGeIQ4ftjcLJnlt8_XdLMv7JuJWO-aIUD56NHHn70)"""
💧🎒 Kit GoPro+ ,"TE-184,SIN 512",30,"🚶‍♂️ Kit GoPro+
Movilidad, hidratación y estilo para quienes no se detienen.
El Kit GoPro+ está diseñado para acompañar a personas activas, en movimiento constante, que necesitan practicidad y resistencia sin perder estilo. Perfecto para jornadas largas, actividades al aire libre o rutinas diarias con enfoque saludable y funcional.
Incluye:
Botella Jumbo 1.4L con Correa y Botón de Seguridad
Mochila Peter Casual Deportiva
",image component recomendado-ocaciones-8-800x80028.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/IWuZ_r_MMfR7op-mp6EVcw/LARW0vwYHJrPaOJfzPcP5_gWhifsyDVs2CPkbfhuyBaQ8bgvdJjGcA8uGeMkiU6qhNeJ7Xbk8JUZYlAKqmbgoezUxUXnea4Wmx944R3LQLBtCNaYdyY5TlxXQUPmSUez6mzzl2JDY6QyClwE2S_bpSdSfLzcMBd7l2dDZKpLt4Q7mvCJL_PqY3btrlVunektkZPMHsjDsDBRvvAyflkT_A/6idnDOFzoL57dgv5-LnMbleEI3KqT0E3Sz_Tijpgsmw)
☕✨ Kit Aroma,"TMPS 170,Blasón,TE-069,ACC 003",30,"Una pausa cálida con sabor y estilo.
El Kit Aroma está diseñado para quienes disfrutan los pequeños grandes momentos. Una combinación ideal para iniciar el día o regalar una experiencia reconfortante, perfecta para el hogar, la oficina o como un obsequio con intención y buen gusto.
Incluye:
Prensa Francesa Cocker
Café Molido y Tostado
Taza de Cerámica Bi-Tono con Asa Dorada (360 ml)
",image component recomendado-ocaciones-8-800x8001.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/ALfctTe5J7tpEfeWhJp-BQ/ugBOe9AL66SS8S8cLyUaC7CAtBzRxX7LW7kt8-9OK5k6saO35xyjVsAxdH3JrzGcG56yvBdFl2-tEJ2jowD-fa7mHz-2VUpJdTmYpufkT1_IvtVuu9gESx_Ckvhy1vbkBiDK90tFX7py7lfixF5czJ9nRalxiN8esOadQ6NKN0tjWizVBEHjTbatX-oa81PclAIhbSTeB4NNaIX0Ql1F2w/ImMEJT5s2jiUYOJt8wMBVXQbDWUXBUPTQbyvMtvESIE)
📱🎧 Kit ConnectEase,"SO 098,TH-152,ACC 003",30,"Comodidad y conectividad en cada movimiento.
El Kit ConnectEase está pensado para quienes viven conectados y necesitan soluciones prácticas para trabajar, escuchar o comunicarse con libertad. Compacto, funcional y listo para el día a día digital, este kit es ideal como regalo corporativo, kit de bienvenida o incentivo para equipos híbridos.
Incluye:
Soporte Extensible para Celular con Imán
Audífonos Bluetooth con Gancho de Silicón Anticaída","""ChatGPT Image 8 may 2025, 01_54_17 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/xf2DB1kcXZPvxIZhNW2mMg/sT21DRs2xLKQsRvtGnZ8EMhP8egWB6S6kHUK84ixFn6DzDlW-JeAggI1MHhZkh3q9HhsssYyX9yHmdZ1aHSVMe0C3S2BE4Mwlv-XcglCqF-6L48vs8DpXHKwuGDICih0IxnibcSQOBvZxgXuUz63FVRO8ZsjXCpFIyEVKJfgIu4AHk1Yt_1Abs0TcSiwVWKp/bfDJnll9nQyJW-7Wu-OCqXDJTZgp7cuAXXOBOgBJbSg)"""
🎒☕ Kit Core,"T 186,""SIN 531
""",30,"🖤 Kit Core
Diseño esencial para quienes avanzan con propósito.
El Kit Core ofrece lo esencial para una jornada eficiente y con estilo. Ideal para colaboradores, clientes o ejecutivos que valoran la calidad en cada detalle, este set es práctico, resistente y visualmente atractivo.
Incluye:
Termo de Acero Inoxidable 500 ml con Acabado Rubber
Mochila Holde Ejecutiva",image component recomendado-ocaciones-8-800x80026.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/Ah_GN0lbtbcbDgLP_ymyJA/uzPKGeleWCsGhb649CY35N-RL-qUvD0rLdqZwBTbE4QQq7iaqTbXEi5QvemRvMti4kaOU7aBciinY6ICkni1fgTOOTAylaMWmH34z3A91C0c59T-UAN6SPEqXSzLyRkRnxmlihZTwKBrQvZyIeTr5vY6Y49FlV3n3TIYTRUTF-3gxABJDsnTKE2EvxW7TqJQGSnSQNs16KeLDXBhOxnfiQ/rgcQu9mMaSfuo6iEyWLA0J9-C5Iswqr9UUTPZOClyt4)
☕🧣 Kit Cozy Mood,"ANF 076,TE-221,COB 001,ACC 003",30,"Confort y estilo para disfrutar cada momento.
El Kit Cozy Mood está pensado para crear una experiencia de relajación en cualquier entorno. Ideal para regalos corporativos, kits de agradecimiento o detalles personales, combina funcionalidad, calidez y diseño en un formato compacto pero memorable.
Incluye:
Cilindro Assh de Acrilonitrilo Estireno (Doble Pared)
Frazada Minya","""ChatGPT Image 8 may 2025, 02_02_05 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/-4bwcR90Yl-3-5rA1rErqg/7286nEZ9oiBanBKT8FPBgWuRqJCs5JVAOm4ZnztZPJiVh8pb53KRr_uXoDYkDRcwBNnk9aGKjfQElAgJiGRLj0wZpqas6NBzZY0l7Za2vEf1VeTYtLAyZBOxy0nR2xDRPN296ZDrDcRSoOuQ_iN-o_gIQviIUlfhBtfyiNM4czt2RYq0ZEqsEBfnczF90_UI/z2r9a9TFJnAlLiox0rFykmFT8b86jrzmR-rwqqi-d90)"""
🍷🥜 Kit Sabores del Valle,"FRA-CAC,FRA-PAS,FRA-PIN,BOT-MOR,ACC 003",30,"Un recorrido de sabor, contraste y armonía.
El Kit Sabores del Valle es una experiencia pensada para sorprender el paladar con contrastes dulces, salados y picantes, acompañados de un vino tinto suave y elegante. Ideal como obsequio gourmet, detalle de agradecimiento o regalo institucional, este set celebra la riqueza de los sabores y el arte de compartir.
Incluye:
Frasco con Cacahuates
Frasco con Pasas Cubiertas de Chocolate
Frasco con Piña Enchilada
Vino Tinto 750 ml","""ChatGPT Image 8 may 2025, 02_06_42 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/fn-ibUKFtzzKu8MO6diYuQ/zGf-N-ytCaLUByPjtFTEgN3MR6dikddklalYdONh4q2DcAT504JAnc2AG9Bv_uRezKjbI-q1JoBisa6An1KfeucVNly66eIGluVg-OTgL9CmFQvrLHUXQtlRKS7WDVdo91u4s6hZu05zEbRLXqKDscM2_8fFGtjy3RJz0Z2i4N2qnXbROwY843wWTxkwq7hS/RudDmMJKfmSNOzLxDyAxTPW2Lio5yD1dyf4BptAP880)"""
